이름,연도,포지션,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS
김재성,19, C,0.006,3,2,17.0,18,16,2,0,100.0,9.53,0.00,,0.05,,,0.00,0.45,-0.61,-0.11,-5.36,0.17,0.06,-0.011
김재율,19, 3B,0.005,4,4,19.0,7,1,6,0,100.0,3.32,0.09,,0.02,-0.16,0.12,,,,0.06,2.02,0.00,0.06,0.005
신민재,21, CF,0.005,8,0,17.0,4,4,0,0,100.0,2.12,0.24,-0.21,0.02,,,,,,0.05,0.21,0.00,0.05,0.005
이천웅,22, CF,0.003,3,0,5.0,3,3,0,0,100.0,5.40,0.35,-0.32,0.01,,,,,,0.04,0.27,0.00,0.04,0.003
백승현,20, 3B,0.003,18,10,97.0,30,6,23,1,96.7,2.69,1.24,,0.06,-0.36,-0.89,,,,0.04,0.20,0.00,0.04,0.003
문보경,21, 2B,0.002,1,0,3.0,0,0,0,0,,0.00,0.00,,0.00,,,,,,0.00,0.01,0.02,0.02,0.000
김민성,21, SS,0.002,2,0,2.0,0,0,0,0,,0.00,,,0.00,,,,,,0.00,0.00,0.02,0.02,0.000
신민재,21, SS,0.002,1,0,1.0,0,0,0,0,,0.00,,,0.00,,,,,,0.00,0.01,0.02,0.02,0.000
손호영,20, 1B,0.002,3,0,4.1,4,4,0,0,100.0,8.31,0.05,,0.00,,,,,,0.06,0.37,-0.04,0.02,0.005
신민재,21, LF,0.001,2,0,6.0,1,1,0,0,100.0,1.50,0.03,,0.01,,,,,,0.04,0.17,-0.03,0.01,0.004
신민재,23, 3B,0.001,1,0,2.0,0,0,0,0,,0.00,0.00,,0.01,,,,,,0.01,0.01,0.00,0.01,0.001
최민창,21, CF,0.000,2,0,3.0,0,0,0,0,,0.00,,,0.00,,,,,,0.00,0.15,0.00,0.00,0.000
최민창,22, CF,0.000,1,0,1.0,0,0,0,0,,0.00,0.00,,0.00,,,,,,0.00,0.05,0.00,0.00,0.000
이형종,21, CF,0.000,1,0,1.0,0,0,0,0,,0.00,,,0.00,,,,,,0.00,0.00,0.00,0.00,0.000
양종민,19, 3B,0.000,13,11,92.2,31,5,22,4,87.1,2.62,-0.20,,0.08,,0.12,,,,0.00,0.00,0.00,0.00,0.000
신민재,21, RF,-0.001,1,0,1.0,0,0,0,0,,0.00,,,0.00,,,,,,0.00,0.01,-0.01,-0.01,0.000
최민창,22, LF,-0.001,3,0,8.0,2,2,0,0,100.0,2.25,0.01,,0.01,,,,,,0.02,0.70,-0.03,-0.01,0.002
김현종,24, LF,-0.001,4,0,5.0,0,0,0,0,,0.00,,,0.01,,,,,,0.01,0.06,-0.02,-0.01,0.001
김호은,20, LF,-0.002,6,1,16.0,3,3,0,0,100.0,1.69,0.37,-0.34,0.02,,,,,,0.05,0.11,-0.07,-0.02,0.005
정근우,20, 1B,-0.002,1,0,2.0,0,0,0,0,,0.00,0.00,,0.00,,,,,,0.00,0.00,-0.02,-0.02,0.000
김민성,23, SS,-0.002,21,18,145.0,78,34,40,4,94.9,4.59,-0.62,,-0.01,-0.76,,,,,-1.40,-1.80,1.38,-0.02,-0.135
김호은,22, 1B,-0.002,1,0,3.0,2,2,0,0,100.0,6.00,0.00,,0.00,,,,,,0.00,0.07,-0.02,-0.02,0.000
이형종,19, 1B,-0.002,2,0,3.0,1,1,0,0,100.0,3.00,0.00,,0.00,,,,,,0.00,0.00,-0.02,-0.02,0.000
이재원,23, RF,-0.002,2,1,4.2,0,0,0,0,,0.00,0.00,,0.01,,,,,,0.01,0.02,-0.03,-0.02,0.001
이상호,21, 2B,-0.003,26,8,97.0,54,21,33,0,100.0,5.01,-0.71,,0.12,0.22,,,,,-0.37,-1.18,0.34,-0.03,-0.035
신민재,21, 2B,-0.003,11,4,39.0,23,8,14,1,95.7,5.08,0.69,,-0.45,-0.41,,,,,-0.16,-0.74,0.13,-0.03,-0.016
안익훈,22, RF,-0.004,7,0,11.0,3,3,0,0,100.0,2.45,-0.43,0.38,0.02,,,,,,-0.03,-0.36,-0.01,-0.04,-0.003
손호영,20, 2B,-0.005,1,0,3.0,0,0,0,0,,0.00,-0.07,,0.00,,,,,,-0.06,-0.40,0.01,-0.05,-0.006
안익훈,24, LF,-0.006,2,0,4.0,1,1,0,0,100.0,2.25,-0.06,,0.00,,,,,,-0.05,-1.82,-0.01,-0.06,-0.005
김현수,21, 1B,-0.007,5,2,15.2,20,19,1,0,100.0,11.49,0.07,,0.01,,,,,,0.08,0.09,-0.16,-0.08,0.008
김용의,21, LF,-0.010,1,0,2.0,0,0,0,0,,0.00,-0.10,,0.00,,,,,,-0.09,-0.13,-0.01,-0.10,-0.009
홍창기,19, CF,-0.011,6,1,15.0,1,1,0,0,100.0,0.60,-0.13,,0.02,,,,,,-0.11,-0.69,0.00,-0.11,-0.011
한석현,21, LF,-0.011,8,5,41.0,5,5,0,0,100.0,1.10,-0.01,0.04,0.04,,,,,,0.06,0.54,-0.18,-0.12,0.006
전준호,23, C,-0.011,2,0,3.0,4,4,0,0,100.0,12.00,0.00,,0.01,,,-0.04,0.08,-0.19,-0.14,-10.26,0.02,-0.12,-0.014
김민성,21, 2B,-0.012,3,0,5.2,5,2,3,0,100.0,7.94,-0.02,,0.01,-0.14,,,,,-0.15,-0.18,0.02,-0.13,-0.014
가르시아,22, SS,-0.012,2,1,6.0,3,0,3,0,100.0,4.50,-0.47,,0.01,0.28,,,,,-0.19,-0.69,0.06,-0.13,-0.018
송찬의,23, 1B,-0.013,5,3,20.0,17,16,1,0,100.0,7.65,-0.06,,0.05,,,,,,-0.02,-0.14,-0.12,-0.14,-0.002
이천웅,23, LF,-0.017,2,0,2.0,0,0,0,0,,0.00,-0.17,,0.00,,,,,,-0.16,-5.91,-0.01,-0.17,-0.016
김범석,24, C,-0.020,8,3,31.0,33,31,2,0,100.0,9.58,-0.04,,0.12,,,-0.20,-0.42,,-0.54,-2.30,0.34,-0.21,-0.052
페게로,19, RF,-0.023,8,3,32.0,7,6,1,0,100.0,1.97,-0.89,0.77,0.05,,,,,,-0.07,-0.18,-0.17,-0.24,-0.006
이재원,23, 1B,-0.023,4,2,20.0,17,14,2,1,94.1,7.20,0.31,,-0.45,,0.05,,,,-0.08,-0.20,-0.16,-0.24,-0.008
박지규,19, 3B,-0.028,3,1,10.0,1,1,0,0,100.0,0.90,-0.30,,0.01,,,,,,-0.29,-4.12,0.00,-0.29,-0.028
김현수,24, 1B,-0.029,5,0,8.0,7,7,0,0,100.0,7.88,-0.24,,0.02,,,,,,-0.22,-0.51,-0.08,-0.30,-0.021
김호은,20, 1B,-0.030,24,14,102.1,98,93,4,1,99.0,8.53,0.53,,0.09,,,,,,0.62,1.30,-0.96,-0.34,0.055
송찬의,22, 1B,-0.031,8,1,24.0,24,22,2,0,100.0,9.00,-0.14,,0.02,,,,,,-0.12,-0.52,-0.20,-0.32,-0.012
손호영,22, SS,-0.032,13,3,37.0,21,6,15,0,100.0,5.11,-0.79,,0.06,0.12,,,,,-0.61,-2.42,0.28,-0.33,-0.059
최민창,22, RF,-0.033,1,0,4.0,0,0,0,0,,0.00,,-0.34,0.01,,,,,,-0.33,-11.83,-0.01,-0.34,-0.032
안익훈,21, LF,-0.035,8,0,11.0,2,2,0,0,100.0,1.64,-0.36,,0.01,,,,,,-0.35,-1.04,-0.02,-0.37,-0.033
구본혁,20, 3B,-0.037,52,9,157.2,48,7,38,3,93.8,2.57,-0.70,,-0.42,0.86,-0.15,,,,-0.41,-0.48,0.00,-0.41,-0.037
안익훈,22, LF,-0.037,3,0,6.0,1,1,0,0,100.0,1.50,-0.03,-0.34,0.01,,,,,,-0.37,-3.81,-0.01,-0.38,-0.036
이주형,21, CF,-0.038,1,0,3.0,0,0,0,0,,0.00,-0.40,,0.00,,,,,,-0.40,-4.12,0.00,-0.40,-0.038
이영빈,21, 3B,-0.039,2,0,2.0,1,1,0,0,100.0,4.50,-0.41,,0.00,,,,,,-0.41,-0.82,0.00,-0.41,-0.039
신민재,23, RF,-0.042,6,0,11.0,2,2,0,0,100.0,1.64,-0.01,-0.41,0.02,,,,,,-0.40,-0.47,-0.03,-0.43,-0.039
최원영,24, LF,-0.042,6,0,15.0,3,3,0,0,100.0,1.80,0.00,-0.39,0.02,,,,,,-0.38,-2.61,-0.06,-0.44,-0.036
장준원,21, 3B,-0.042,2,0,5.0,2,0,1,1,50.0,1.80,-0.45,,0.00,,,,,,-0.44,-12.72,0.00,-0.44,-0.042
한석현,21, RF,-0.044,2,1,9.0,1,1,0,0,100.0,1.00,-0.11,-0.34,0.01,,,,,,-0.44,-3.94,-0.02,-0.46,-0.042
정상호,19, C,-0.046,21,6,64.0,51,47,4,0,100.0,7.17,-0.02,,0.19,,0.02,-1.12,-1.03,0.97,-0.99,-6.51,0.53,-0.47,-0.097
이주형,23, RF,-0.046,3,0,9.0,2,2,0,0,100.0,2.00,-0.51,0.05,0.02,,,,,,-0.44,-0.93,-0.03,-0.47,-0.043
김민성,22, 3B,-0.048,79,25,313.1,68,19,46,3,95.6,1.87,-0.40,,0.27,-0.46,0.10,,,,-0.49,-0.77,0.00,-0.49,-0.048
김범석,24, 1B,-0.051,11,9,67.0,67,63,4,0,100.0,9.00,-0.30,,0.15,,0.30,,,,0.15,0.62,-0.68,-0.53,0.014
한석현,21, CF,-0.051,2,1,8.0,2,1,0,1,50.0,1.13,0.14,-0.19,-0.49,,,,,,-0.54,-4.84,0.00,-0.54,-0.051
이영빈,22, 2B,-0.052,15,6,62.0,40,17,22,1,97.5,5.66,-0.60,,0.07,-0.29,,,,,-0.83,-1.98,0.29,-0.54,-0.081
이상호,21, SS,-0.053,1,1,7.0,3,1,2,0,100.0,3.86,-0.33,,0.01,-0.28,,,,,-0.60,-1.91,0.04,-0.56,-0.057
구본혁,19, 2B,-0.053,7,0,14.1,9,4,5,0,100.0,5.65,-0.60,,0.02,,,,,,-0.59,-1.48,0.04,-0.55,-0.057
장준원,20, 2B,-0.056,2,0,6.0,2,0,1,1,50.0,1.50,-0.66,,0.01,,,,,,-0.65,-2.04,0.02,-0.63,-0.057
이영빈,21, SS,-0.057,18,7,62.2,29,5,22,2,93.1,3.88,-1.03,,0.10,-0.23,,,,,-1.15,-2.30,0.56,-0.59,-0.110
양종민,19, 2B,-0.058,2,0,7.0,1,0,1,0,100.0,1.29,-0.63,,0.01,,,,,,-0.62,-4.97,0.03,-0.59,-0.061
문성주,21, LF,-0.059,23,11,117.0,27,26,0,1,96.3,2.00,0.11,0.17,-0.39,,,,,,-0.11,-0.52,-0.50,-0.61,-0.011
