이름,연도,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
김주온,20, P,-0.16,29,0,29,19,0,0,0,3,0,0,31.0,26,27,28.20,160,46,7,0,5,22,5,0,18,1,0,5,7.55,7.84,8.19,7.91,7.16,2.19
조요한,22, P,-0.19,23,0,23,4,0,0,2,1,0,5,19.1,14,15,13.15,89,17,1,0,2,13,4,1,15,3,0,7,6.52,6.98,6.12,5.79,5.80,1.55
한두솔,22, P,-0.23,8,0,8,3,0,0,0,0,0,0,5.1,10,10,10.85,30,10,2,0,0,4,0,0,1,0,0,1,16.88,16.88,18.31,17.32,5.64,2.63
킹엄,20, P,-0.24,2,2,0,0,0,0,0,2,0,0,10.2,8,11,11.00,52,16,4,0,1,4,0,0,6,1,0,1,6.75,9.28,9.28,10.22,4.87,1.88
박정배,19, P,-0.26,20,0,20,9,0,0,1,1,0,1,19.2,22,22,19.75,90,29,10,0,4,2,2,0,9,0,0,0,10.07,10.07,9.04,8.61,5.72,1.58
백승건,20, P,-0.29,10,7,3,1,0,0,0,5,0,0,29.1,26,29,27.80,156,37,5,0,7,31,2,0,28,2,0,1,7.98,8.90,8.53,8.28,7.94,2.32
김정빈,21, P,-0.30,6,6,0,0,0,0,0,1,0,0,17.1,19,20,19.65,92,20,1,0,5,20,4,0,21,0,0,1,9.87,10.38,10.20,10.33,8.46,2.31
이건욱,24, P,-0.31,6,2,4,1,0,0,1,2,0,0,13.1,15,16,16.15,71,22,3,0,3,8,2,0,11,2,0,3,10.13,10.80,10.90,11.31,7.11,2.25
김주한,20, P,-0.31,22,7,15,4,0,0,1,7,0,0,46.0,38,43,41.95,220,60,7,1,7,20,8,0,22,4,0,4,7.43,8.41,8.21,7.84,6.50,1.74
이승진,19, P,-0.31,17,2,15,10,0,0,0,0,0,1,19.0,17,17,19.25,89,21,1,1,3,12,1,0,14,0,0,2,8.05,8.05,9.12,8.94,5.97,1.74
이건욱,21, P,-0.31,5,4,1,1,0,0,0,1,0,0,12.2,16,16,15.50,72,16,4,0,4,19,1,0,5,0,0,0,11.37,11.37,11.01,10.90,11.43,2.76
김택형,20, P,-0.32,31,0,31,3,0,0,1,3,0,3,23.0,22,26,22.90,114,26,2,1,5,20,0,1,22,2,0,6,8.61,10.17,8.96,8.80,6.89,2.00
김세현,20, P,-0.32,42,0,42,9,0,0,2,0,1,7,42.0,27,28,34.30,187,44,7,0,7,22,1,0,35,1,0,1,5.79,6.00,7.35,7.06,5.59,1.57
하재훈,20, P,-0.35,15,0,15,8,0,0,1,1,4,0,13.0,11,13,12.65,66,19,3,0,2,8,0,0,10,2,0,1,7.62,9.00,8.76,8.68,5.81,2.08
정영일,20, P,-0.37,29,0,29,7,0,0,2,2,2,2,23.1,17,20,22.30,114,31,5,0,6,11,3,1,17,1,1,3,6.56,7.71,8.60,8.60,6.96,1.80
노바,22, P,-0.47,12,12,0,0,0,0,3,4,0,0,63.2,46,50,49.15,291,78,10,2,5,25,5,0,32,8,1,9,6.50,7.07,6.95,6.98,4.92,1.62
더거,24, P,-0.56,6,6,0,0,0,0,0,3,0,0,22.2,32,33,33.00,116,37,7,3,2,10,3,0,18,1,0,0,12.71,13.10,13.10,12.77,5.01,2.07
