이름,연도,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
조제영,21, P,-0.27,6,1,5,3,0,0,0,1,0,0,10.2,13,13,13.85,60,18,3,0,1,10,1,1,5,1,0,1,10.97,10.97,11.69,11.82,6.91,2.63
전창민,22, P,-0.27,9,0,9,2,0,0,0,0,0,0,9.1,20,20,18.80,52,17,4,1,2,8,0,0,3,0,0,0,19.29,19.29,18.13,17.43,8.19,2.68
이현승,22, P,-0.31,23,0,23,0,0,0,1,0,0,2,8.2,6,6,10.35,43,13,1,2,2,4,1,0,9,0,0,0,6.23,6.23,10.75,11.64,5.72,1.96
이영하,23, P,-0.31,36,0,36,5,0,0,5,3,0,4,39.1,24,27,25.95,184,40,9,1,2,21,4,1,28,4,0,2,5.49,6.18,5.94,6.22,4.57,1.55
임창민,22, P,-0.31,32,0,32,10,0,0,0,0,2,6,27.1,12,15,19.10,124,26,1,0,3,10,3,0,21,4,0,1,3.95,4.94,6.29,6.61,4.64,1.32
김강률,22, P,-0.33,26,0,26,17,0,0,3,4,9,1,24.2,12,13,16.80,110,28,6,0,2,8,2,2,15,1,0,1,4.38,4.74,6.13,6.53,4.36,1.46
김강률,20, P,-0.37,30,0,30,10,0,0,2,2,0,0,28.0,11,22,25.75,141,36,6,2,1,20,4,0,28,2,0,0,3.54,7.07,8.28,9.23,4.58,2.00
박정수,21, P,-0.39,9,2,7,5,0,0,0,3,0,0,14.1,18,20,19.50,74,22,5,0,3,6,2,0,15,2,0,2,11.30,12.56,12.24,12.54,5.37,1.95
박신지,22, P,-0.46,29,9,20,2,0,0,1,6,0,0,61.2,46,50,49.30,313,84,12,1,7,40,5,0,38,7,0,4,6.71,7.30,7.20,7.50,5.86,2.01
윤명준,22, P,-0.54,20,0,20,5,0,0,1,1,0,0,22.1,21,24,25.20,109,33,6,2,8,8,1,1,15,2,0,2,8.46,9.67,10.16,10.65,7.48,1.84
김명신,24, P,-0.54,19,0,19,0,0,0,1,1,0,4,17.0,20,20,22.10,91,35,5,0,5,6,1,0,13,1,0,0,10.59,10.59,11.70,12.45,7.03,2.41
이형범,20, P,-0.58,27,0,27,8,0,0,1,2,1,1,25.2,22,22,24.25,122,30,6,0,5,16,2,2,13,1,0,1,7.71,7.71,8.50,9.20,7.10,1.79
박치국,19, P,-0.61,61,0,61,8,0,0,2,2,3,14,52.0,26,26,32.20,229,64,14,1,5,14,5,2,35,0,0,3,4.50,4.50,5.57,5.79,4.28,1.50
이형범,23, P,-0.62,23,0,23,4,0,0,1,0,0,1,27.2,20,23,28.80,134,40,10,0,2,12,3,0,13,2,0,2,6.51,7.48,9.37,9.96,4.79,1.88
유희관,21, P,-0.63,15,15,0,0,0,0,4,7,0,0,63.0,54,57,55.60,314,107,14,3,10,24,3,0,23,2,0,0,7.71,8.14,7.94,8.44,6.07,2.08
