이름,연도,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
이상동,21, P,-0.10,6,0,6,2,0,0,0,1,0,1,6.1,6,6,6.15,29,7,0,0,0,3,0,0,5,1,0,1,8.53,8.53,8.74,8.44,3.26,1.58
손동현,19, P,-0.10,34,3,31,7,0,0,2,3,0,5,47.1,25,29,28.30,220,51,7,0,2,31,0,3,29,3,1,0,4.75,5.51,5.38,5.28,4.75,1.73
류희운,20, P,-0.12,7,0,7,4,0,0,0,1,0,0,8.1,10,10,10.00,41,14,4,0,1,4,0,0,7,0,0,1,10.80,10.80,10.80,10.86,4.81,2.16
이상동,19, P,-0.13,6,0,6,4,0,0,0,0,0,0,6.1,10,10,9.30,30,10,4,0,2,2,1,0,0,0,0,0,14.21,14.21,13.22,13.54,9.04,1.89
류희운,19, P,-0.14,1,1,0,0,0,0,0,1,0,0,2.1,6,6,6.00,17,8,2,0,0,2,0,0,1,0,0,2,23.14,23.14,23.14,22.84,5.40,4.29
이채호,23, P,-0.14,25,0,25,5,0,0,0,1,0,1,24.2,19,19,18.50,110,26,6,0,6,9,3,0,8,1,0,1,6.93,6.93,6.75,6.47,7.44,1.42
전유수,22, P,-0.15,8,0,8,8,0,0,0,0,0,0,11.0,10,10,12.75,54,17,6,0,1,5,0,0,2,0,0,0,8.18,8.18,10.43,10.04,5.82,2.00
성재헌,24, P,-0.16,10,1,9,2,0,0,0,0,0,1,9.0,12,12,12.70,52,15,6,1,1,10,2,1,5,0,1,1,12.00,12.00,12.70,12.20,7.89,2.78
조이현,24, P,-0.16,6,0,6,2,0,0,0,0,0,0,6.1,9,9,9.15,34,13,1,0,2,2,0,0,4,0,0,0,12.79,12.79,13.00,12.47,7.33,2.37
조근종,19, P,-0.16,10,0,10,2,0,0,0,0,0,1,10.2,7,7,8.35,53,15,2,0,1,5,2,1,6,0,0,0,5.91,5.91,7.05,6.98,5.26,1.88
이정현,19, P,-0.17,9,2,7,4,0,0,0,2,0,0,12.0,13,13,11.95,55,12,4,0,3,8,0,0,9,0,0,0,9.75,9.75,8.96,9.25,6.98,1.67
이상동,24, P,-0.17,17,0,17,6,0,0,0,1,0,3,19.0,13,13,17.30,93,25,7,0,1,11,2,1,15,0,1,3,6.16,6.16,8.19,8.15,4.94,1.89
김태오,23, P,-0.18,5,0,5,2,0,0,0,0,0,0,7.1,6,6,8.05,35,10,3,0,0,4,0,1,3,1,0,0,7.36,7.36,9.88,10.19,4.09,1.91
김민수,23, P,-0.18,14,0,14,5,0,0,0,1,0,3,13.0,10,10,9.80,58,17,5,2,1,5,0,0,4,0,0,0,6.92,6.92,6.78,6.59,5.19,1.69
류희운,22, P,-0.19,8,0,8,1,0,0,0,1,0,0,5.2,9,9,8.85,26,10,0,0,2,1,0,0,5,0,0,0,14.29,14.29,14.06,12.96,6.33,1.94
소형준,23, P,-0.19,3,3,0,0,0,0,0,0,0,0,11.0,14,14,12.95,59,22,4,0,1,3,3,0,4,2,0,2,11.45,11.45,10.60,9.75,5.71,2.27
하준호,22, P,-0.19,20,0,20,6,0,0,0,1,0,0,16.1,15,16,15.35,77,16,2,0,2,16,1,0,15,0,0,1,8.27,8.82,8.46,8.54,6.17,1.96
문용익,24, P,-0.20,8,0,8,1,0,0,0,0,0,0,9.2,15,16,16.00,56,13,2,0,2,12,2,0,9,1,0,2,13.97,14.90,14.90,15.38,8.79,2.59
김민수,20, P,-0.22,33,18,15,3,0,0,3,8,0,0,103.1,70,80,83.40,482,151,22,1,14,30,4,0,63,8,0,6,6.10,6.97,7.26,7.36,5.10,1.75
손동현,24, P,-0.28,25,0,25,3,0,0,1,1,1,2,28.0,19,22,25.60,137,37,5,1,4,13,1,0,15,3,0,2,6.11,7.07,8.23,8.09,6.08,1.79
김민,23, P,-0.29,16,4,12,5,0,0,1,2,0,0,29.0,22,26,24.30,145,40,6,0,3,16,4,0,22,3,0,4,6.83,8.07,7.54,7.27,5.32,1.93
주권,24, P,-0.29,26,1,25,7,0,0,1,1,0,0,32.2,28,32,31.85,148,48,8,2,5,8,2,0,18,2,0,0,7.71,8.82,8.77,8.41,5.56,1.71
조이현,23, P,-0.29,18,4,14,4,0,0,2,1,0,1,35.0,26,27,31.95,170,61,14,1,3,6,2,0,17,1,1,1,6.69,6.94,8.22,7.95,4.36,1.91
김민,20, P,-0.35,24,6,18,2,0,0,3,3,0,1,42.2,31,35,35.70,207,46,4,0,6,29,5,0,32,3,0,5,6.54,7.38,7.53,7.65,6.26,1.76
이보근,21, P,-0.41,16,0,16,2,0,0,0,1,0,1,11.0,19,20,18.50,68,28,4,0,4,7,0,0,9,1,0,2,15.55,16.36,15.14,14.41,8.02,3.18
엄상백,19, P,-0.58,26,0,26,10,0,0,2,3,0,0,31.1,28,29,30.20,154,40,6,0,6,24,0,0,20,1,0,1,8.04,8.33,8.67,8.48,6.87,2.04
정성곤,19, P,-1.11,52,0,52,20,0,0,3,3,8,11,53.2,33,36,40.45,248,64,16,2,7,22,2,3,40,4,0,2,5.53,6.04,6.78,7.02,4.71,1.60
