이름,연도,포지션,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS
신본기,21, SS,0.112,14,6,53.1,18,5,13,0,100.0,3.04,0.17,,0.09,0.43,,,,,0.69,1.03,0.48,1.17,0.066
신본기,23, SS,0.110,19,6,70.1,32,11,19,2,93.8,3.84,0.67,,-0.26,0.21,,,,,0.62,2.23,0.52,1.14,0.060
신본기,23, 2B,0.109,17,6,71.2,48,20,28,0,100.0,6.03,1.05,,0.26,-0.41,,,,,0.89,3.21,0.24,1.13,0.086
김준태,22, C,0.109,78,57,504.2,439,414,22,3,99.3,7.78,0.10,,0.09,,0.02,-0.17,-1.71,-2.66,-4.34,-6.37,5.45,1.11,-0.423
오윤석,23, 1B,0.109,52,34,308.2,308,276,32,0,100.0,8.98,2.96,,0.70,,0.04,,,,3.70,6.50,-2.58,1.12,0.358
로하스,19, LF,0.105,44,40,317.1,76,72,4,0,100.0,2.16,2.69,-0.27,0.31,,,,,,2.72,2.76,-1.65,1.07,0.266
박경수,21, 2B,0.103,97,60,522.0,305,121,181,3,99.0,5.21,-0.35,,0.66,-1.60,,,,,-1.29,-1.58,2.37,1.08,-0.124
호잉,21, CF,0.101,5,3,26.0,9,8,1,0,100.0,3.12,1.04,-0.01,0.03,,,,,,1.06,2.25,0.00,1.06,0.101
신본기,21, 3B,0.099,47,21,195.0,60,14,45,1,98.3,2.72,1.73,,0.15,-1.31,0.46,,,,1.03,1.55,0.00,1.03,0.099
천성호,21, 2B,0.098,9,4,31.2,15,4,11,0,100.0,4.26,0.43,,0.04,0.41,,,,,0.88,3.10,0.14,1.02,0.084
이호연,23, 1B,0.095,10,2,32.2,35,33,2,0,100.0,9.64,1.20,,0.07,,,,,,1.28,2.16,-0.30,0.98,0.124
송민섭,22, RF,0.093,75,4,161.1,37,36,0,1,97.3,2.01,1.69,-0.16,-0.20,,,,,,1.33,1.61,-0.38,0.95,0.130
김병준,23, CF,0.087,1,1,5.0,3,3,0,0,100.0,5.40,0.55,0.34,0.01,,,,,,0.90,43.24,0.00,0.90,0.087
김병희,20, 3B,0.084,14,2,32.2,7,0,7,0,100.0,1.93,1.62,,0.02,0.20,-0.89,,,,0.95,4.73,0.00,0.95,0.084
오윤석,23, 3B,0.079,7,0,11.2,3,0,3,0,100.0,2.31,0.78,,0.04,,,,,,0.82,1.44,0.00,0.82,0.079
오태곤,19, LF,0.078,9,6,48.2,8,8,0,0,100.0,1.48,1.63,-0.62,0.05,,,,,,1.06,1.24,-0.26,0.80,0.104
천성호,24, 3B,0.076,3,0,11.0,5,1,4,0,100.0,4.09,0.78,,0.04,,-0.02,,,,0.80,1.96,0.00,0.80,0.076
이준수,19, C,0.076,32,14,141.2,108,96,10,2,98.1,6.73,0.19,,-0.56,,0.05,-1.26,-0.25,1.43,-0.40,-1.80,1.18,0.78,-0.039
