이름,연도,포지션,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS
문경찬,19, P,,54,0,55.0,2,2,0,0,100.0,0.33,,,,,,,,,0.00,0.00,,,0.000
오선우,19, LF,,1,0,1.0,0,0,0,0,,0.00,-0.28,0.16,0.00,,,,,,-0.12,-0.66,,,-0.012
장현식,20, P,,28,3,31.1,4,0,4,0,100.0,1.15,,,,,,,,,0.00,0.00,,,0.000
김재열,22, P,,46,0,43.0,6,1,4,1,83.3,1.05,,,,,,,,,0.00,0.00,,,0.000
정해영,24, P,,27,0,27.0,2,1,1,0,100.0,0.67,,,,,,,,,0.00,,,,0.000
김선빈,23, SS,,2,0,2.0,0,0,0,0,,0.00,0.00,,0.01,,,,,,0.01,0.01,,,0.001
김현준,20, P,,15,0,14.1,1,0,1,0,100.0,0.63,,,,,,,,,0.00,0.00,,,0.000
곽도규,24, P,,27,0,23.1,2,1,0,1,50.0,0.39,,,,,,,,,0.00,0.00,,,0.000
이민우,19, P,,32,6,61.1,8,2,4,2,75.0,0.88,,,,,,,,,0.00,0.00,,,0.000
임기준,19, P,,50,0,36.2,12,2,8,2,83.3,2.45,,,,,,,,,0.00,0.00,,,0.000
오정환,19, SS,,1,0,1.0,0,0,0,0,,0.00,0.00,,0.00,,,,,,0.00,0.01,,,0.000
김기훈,23, P,,27,0,31.1,2,0,2,0,100.0,0.57,,,,,,,,,0.00,0.00,,,0.000
정해영,21, P,,64,0,65.1,14,3,10,1,92.9,1.79,,,,,,,,,0.00,0.00,,,0.000
박정우,22, LF,,1,0,1.0,1,1,0,0,100.0,9.00,0.24,,0.00,,,,,,0.25,2.21,,,0.024
양승철,19, P,,11,1,16.1,4,1,3,0,100.0,2.20,,,,,,,,,0.00,0.00,,,0.000
김선빈,22, SS,,2,0,2.2,1,0,1,0,100.0,3.38,0.08,,0.00,,,,,,0.08,0.08,,,0.008
최정용,19, 3B,,1,0,2.0,1,0,1,0,100.0,4.50,-0.10,,0.00,,,,,,-0.10,-1.82,,,-0.010
박민,22, 3B,,4,0,5.0,0,0,0,0,,0.00,0.00,,0.00,,,,,,0.00,0.02,,,0.000
최정용,23, 1B,,2,0,4.0,3,3,0,0,100.0,6.75,0.61,,0.01,,,,,,0.62,1.58,,,0.060
강경학,21, 3B,,1,0,1.0,0,0,0,0,,0.00,,,0.00,,,,,,0.00,0.00,,,0.000
홍건희,20, P,,10,0,12.0,1,0,1,0,100.0,0.75,,,,,,,,,0.00,0.00,,,0.000
류지혁,21, SS,,1,0,1.0,2,1,1,0,100.0,18.00,0.62,,0.00,,,,,,0.62,0.98,,,0.060
장현식,21, P,,69,0,76.2,11,1,9,1,90.9,1.17,,,,,,,,,0.00,0.00,,,0.000
전상현,24, P,,29,0,26.0,3,0,3,0,100.0,1.04,,,,,,,,,0.00,0.00,,,0.000
이창진,20, LF,,1,0,1.0,0,0,0,0,,0.00,0.00,,0.00,,,,,,0.00,0.01,,,0.000
황윤호,21, P,,1,0,0.2,0,0,0,0,,0.00,,,,,,,,,0.00,0.00,,,0.000
이의리,22, P,,29,28,154.0,20,5,13,2,90.0,1.05,,,,,,,,,0.00,,,,0.000
최정용,23, SS,,1,0,1.0,1,0,1,0,100.0,9.00,0.20,,0.00,,,,,,0.20,0.52,,,0.020
황동하,23, P,,12,6,31.1,8,3,5,0,100.0,2.30,,,,,,,,,0.00,0.00,,,0.000
