이름,연도,포지션,WAR,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,WRC+
주성원,24, RF,0.13,0.08,0.05,20,48,47,43,7,10,1,0,1,14,5,0,0,4,0,0,14,2,1,0,0.233,0.298,0.326,0.624,-0.034,72.6
박정음,21, CF,0.11,-0.25,0.36,70,18,18,14,19,0,0,0,0,0,1,4,2,2,1,0,3,1,0,1,0.000,0.167,0.000,0.167,-0.198,-57.7
김은성,21, 2B,0.11,-0.01,0.12,6,18,18,18,1,5,3,0,0,8,2,0,0,0,0,0,6,0,0,0,0.278,0.278,0.444,0.722,-0.039,71.4
원성준,24, SS,0.10,0.27,-0.17,3,12,12,10,3,4,2,0,1,9,5,0,0,1,0,0,2,0,0,1,0.400,0.417,0.900,1.317,0.171,227.9
변상권,20, RF,0.08,0.02,0.06,35,64,64,62,7,17,5,0,1,25,16,0,0,1,0,0,20,2,0,1,0.274,0.281,0.403,0.684,-0.042,70.4
박정음,19, LF,0.07,-0.12,0.19,60,88,87,71,13,14,2,1,0,18,7,6,5,11,5,0,31,1,1,0,0.197,0.345,0.254,0.599,-0.041,69.2
예진원,22, LF,0.06,-0.05,0.10,20,14,13,10,0,1,0,0,0,1,0,0,0,3,0,0,3,0,1,0,0.100,0.308,0.100,0.408,-0.093,28.9
이명기,21, 2B,0.06,-0.01,0.06,3,8,8,6,0,1,0,0,0,1,1,0,0,2,0,0,3,0,0,0,0.167,0.375,0.167,0.542,-0.048,64.6
김태진,23, 3B,0.04,0.20,-0.16,74,212,209,200,17,55,5,0,0,60,16,0,0,5,1,0,23,1,3,3,0.275,0.292,0.300,0.592,-0.036,73.7
김휘집,22, SS,0.03,1.15,-1.11,112,393,390,333,40,74,12,1,8,112,36,0,0,39,14,0,115,6,3,4,0.222,0.326,0.336,0.662,-0.016,89.8
허정협,19, LF,0.03,0.00,0.04,37,77,77,68,3,16,1,0,0,17,8,0,0,7,1,0,19,1,0,1,0.235,0.312,0.250,0.562,-0.050,61.4
