이름,연도,포지션,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS
주효상,20, C,-0.010,44,19,191.1,172,154,14,4,97.7,7.90,0.11,,-1.43,,0.60,0.72,0.31,-2.17,-1.87,-4.27,1.75,-0.12,-0.165
박찬혁,23, LF,-0.012,27,24,203.0,52,50,1,1,98.1,2.26,0.44,0.06,0.38,,,,,,0.88,2.63,-1.00,-0.12,0.085
김주형,23, 2B,-0.012,4,0,7.0,4,1,3,0,100.0,5.14,-0.17,,0.03,,,,,,-0.14,-0.45,0.02,-0.12,-0.014
주효상,19, C,-0.012,17,6,66.0,60,53,6,1,98.3,8.05,-0.02,,-0.29,,0.07,-0.47,0.71,-0.77,-0.77,-6.18,0.65,-0.12,-0.076
김주형,21, 3B,-0.012,1,1,9.0,2,1,1,0,100.0,2.00,-0.13,,0.01,,,,,,-0.13,-0.51,0.00,-0.13,-0.012
김주형,22, 2B,-0.013,7,2,19.0,7,5,2,0,100.0,3.32,-0.20,,0.02,,,,,,-0.18,-0.47,0.05,-0.13,-0.018
김주형,19, 2B,-0.013,1,0,3.0,1,0,1,0,100.0,3.00,-0.15,,0.00,,,,,,-0.14,-6.92,0.01,-0.13,-0.014
송우현,20, RF,-0.013,12,4,38.2,8,8,0,0,100.0,1.86,-0.04,-0.05,0.05,,,,,,-0.03,-0.33,-0.12,-0.15,-0.003
김태진,23, 1B,-0.019,1,0,2.0,1,1,0,0,100.0,4.50,-0.18,,0.00,,,,,,-0.17,-0.34,-0.02,-0.19,-0.017
이승원,24, SS,-0.019,2,1,9.0,7,3,3,1,85.7,6.00,0.05,,0.04,-0.35,,,,,-0.26,-12.71,0.06,-0.20,-0.025
김규민,19, CF,-0.023,2,1,9.0,2,2,0,0,100.0,2.00,-0.35,0.10,0.01,,,,,,-0.24,-0.36,0.00,-0.24,-0.023
김휘집,21, SS,-0.024,9,3,30.0,19,9,8,2,89.5,5.10,-0.79,,0.05,0.30,,,,,-0.45,-1.91,0.20,-0.25,-0.043
신준우,22, 2B,-0.025,12,0,16.0,11,7,4,0,100.0,6.19,-0.29,,0.02,0.00,,,,,-0.27,-0.51,0.01,-0.26,-0.026
김재현,20, C,-0.028,4,0,7.0,3,2,1,0,100.0,3.86,0.00,,0.02,,,-0.15,-0.33,0.09,-0.37,-13.17,0.05,-0.32,-0.032
강민국,22, SS,-0.028,1,1,5.0,3,0,2,1,66.7,3.60,-0.34,,0.01,,,,,,-0.33,-15.71,0.04,-0.29,-0.032
도슨,24, LF,-0.030,34,28,250.2,73,71,0,2,97.3,2.55,1.16,0.07,-0.21,,,,,,1.03,2.60,-1.34,-0.31,0.098
김태진,24, RF,-0.031,2,0,6.0,0,0,0,0,,0.00,-0.22,-0.10,0.02,,,,,,-0.30,-3.04,-0.03,-0.33,-0.028
김주형,20, 3B,-0.032,20,6,67.0,20,5,13,2,90.0,2.42,0.06,,0.04,-0.46,,,,,-0.36,-1.32,0.00,-0.36,-0.032
송우현,21, RF,-0.032,67,64,561.1,119,113,5,1,99.2,1.89,1.31,0.83,0.28,,,,,,2.42,5.04,-2.75,-0.33,0.231
김태진,22, CF,-0.033,2,1,12.0,1,1,0,0,100.0,0.75,0.03,-0.39,0.02,,,,,,-0.34,-0.64,0.00,-0.34,-0.033
박준태,22, LF,-0.036,17,3,62.2,11,11,0,0,100.0,1.58,-0.48,0.27,0.09,,,,,,-0.12,-0.33,-0.25,-0.37,-0.011
이주형,23, RF,-0.036,6,6,52.0,14,14,0,0,100.0,2.42,0.62,-0.81,0.10,,,,,,-0.09,-0.18,-0.29,-0.38,-0.008
박준태,20, LF,-0.040,46,23,208.2,53,51,1,1,98.1,2.24,1.52,-0.87,-0.25,,,,,,0.41,0.46,-0.86,-0.45,0.036
김규민,20, 1B,-0.042,4,0,6.0,5,3,1,1,80.0,6.00,-0.43,,0.01,,,,,,-0.42,-1.12,-0.06,-0.48,-0.037
김병휘,23, 2B,-0.047,7,6,44.1,20,10,10,0,100.0,4.06,-1.19,,0.16,0.37,,,,,-0.66,-9.51,0.18,-0.48,-0.064
이병규,22, LF,-0.047,6,2,18.0,3,3,0,0,100.0,1.50,-0.53,0.11,0.03,,,,,,-0.40,-2.39,-0.08,-0.48,-0.039
샌즈,19, 1B,-0.048,24,15,140.0,163,154,8,1,99.4,10.41,1.02,,0.14,,-0.33,,,,0.83,0.86,-1.32,-0.49,0.081
김시앙,22, C,-0.049,12,5,36.1,34,32,1,1,97.1,8.17,-0.02,,-0.37,,,-0.06,-0.27,-0.09,-0.82,-9.07,0.31,-0.51,-0.080
김태진,22, 3B,-0.050,3,3,26.0,8,2,4,2,75.0,2.08,-1.11,,0.02,0.58,,,,,-0.51,-0.95,0.00,-0.51,-0.050
예진원,24, LF,-0.050,6,1,19.0,7,7,0,0,100.0,3.32,-0.25,-0.24,0.02,,,,,,-0.47,-3.09,-0.06,-0.53,-0.045
박정음,19, RF,-0.051,10,0,19.0,4,4,0,0,100.0,1.89,-0.20,-0.30,0.03,,,,,,-0.47,-1.13,-0.05,-0.52,-0.046
이승원,23, SS,-0.054,4,2,11.0,6,2,3,1,83.3,4.09,-0.51,,-0.46,0.36,,,,,-0.61,-22.11,0.06,-0.55,-0.059
문찬종,21, SS,-0.056,3,0,7.0,6,2,4,0,100.0,7.71,-0.13,,0.01,-0.51,,,,,-0.63,-6.96,0.04,-0.59,-0.060
이형종,24, RF,-0.057,19,19,160.0,48,47,0,1,97.9,2.64,0.18,0.01,0.00,,,,,,0.20,1.35,-0.80,-0.60,0.019
박정음,20, RF,-0.058,8,0,12.0,2,2,0,0,100.0,1.50,-0.48,-0.15,0.02,,,,,,-0.61,-1.03,-0.04,-0.65,-0.054
김휘집,21, 2B,-0.060,7,1,14.0,7,1,5,1,85.7,3.86,-0.19,,-0.48,,,,,,-0.67,-2.84,0.04,-0.63,-0.064
박준태,23, RF,-0.064,8,4,41.0,6,6,0,0,100.0,1.32,-0.39,-0.21,0.08,,,,,,-0.52,-5.34,-0.14,-0.66,-0.050
박찬혁,22, 1B,-0.066,7,7,44.0,45,39,4,2,95.6,8.80,-0.27,,0.03,,,,,,-0.24,-0.66,-0.44,-0.68,-0.023
