Game Date,Away Team,Away Lineup,Home Team,Home Lineup,Away Score,Home Score
20190810,키움,"이정후, 김하성, 샌즈, 박병호, 서건창, 박동원, 임병욱, 이지영, 김혜성, 이승호",두산,"박건우, 정수빈, 페르난데스, 오재일, 김재환, 김재호, 박세혁, 류지혁, 오재원, 이영하",2 , 10
20190810,KT,"김민혁, 오태곤, 강백호, 유한준, 로하스, 박경수, 박승욱, 장성우, 심우준, 김민수",한화,"정은원, 장진혁, 호잉, 김태균, 이성열, 송광민, 최재훈, 유장혁, 오선진, 서폴드",4 , 5
20190810,삼성,"김상수, 김헌곤, 러프, 이원석, 윌리엄슨, 김동엽, 박해민, 강민호, 박계범, 윤성환",KIA,"박찬호, 김선빈, 터커, 최형우, 유민상, 안치홍, 김주찬, 한승택, 이창진, 양현종",7 , 2
20190810,NC,"이상호, 권희동, 스몰린스키, 박석민, 모창민, 김성욱, 김찬형, 지석훈, 김형준, 구창모",롯데,"정훈, 김동한, 전준우, 이대호, 윌슨, 민병헌, 문규현, 안중열, 강로한, 레일리",4 , 7
20190811,LG,"이천웅, 김용의, 이형종, 김현수, 유강남, 페게로, 김민성, 윤진호, 정주현, 차우찬",SK,"노수광, 한동민, 최정, 이재원, 정의윤, 김강민, 나주환, 최항, 김성현, 박종훈",3 , 4
20190811,키움,"이정후, 김하성, 샌즈, 박병호, 서건창, 임병욱, 박동원, 김규민, 김혜성, 요키시",두산,"박건우, 정수빈, 페르난데스, 김재환, 최주환, 김재호, 허경민, 박세혁, 신성현, 린드블럼",12 , 7
20190811,KT,"김민혁, 오태곤, 강백호, 유한준, 로하스, 박경수, 박승욱, 장성우, 심우준, 이정현",한화,"정은원, 장진혁, 호잉, 이성열, 송광민, 정근우, 최재훈, 김민하, 오선진, 임준섭",6 , 4
20190811,삼성,"김상수, 박해민, 김헌곤, 러프, 이원석, 윌리엄슨, 김동엽, 강민호, 박계범, 김윤수",KIA,"김주찬, 김선빈, 터커, 최형우, 유민상, 안치홍, 이창진, 김민식, 박찬호, 윌랜드",4 , 5
20190811,NC,"박민우, 이명기, 스몰린스키, 박석민, 모창민, 김성욱, 김태진, 김찬형, 김형준, 프리드릭",롯데,"고승민, 손아섭, 민병헌, 이대호, 윌슨, 채태인, 나경민, 안중열, 강로한, 장시환",1 , 9
20190813,LG,"이천웅, 오지환, 이형종, 김현수, 채은성, 페게로, 김민성, 이성우, 정주현, 류제국",키움,"이정후, 김하성, 샌즈, 박병호, 서건창, 임병욱, 박동원, 송성문, 김혜성, 김선기",7 , 8
20190813,SK,"노수광, 한동민, 최정, 로맥, 고종욱, 이재원, 정의윤, 최항, 김성현, 문승원",삼성,"김상수, 구자욱, 김헌곤, 러프, 이원석, 김동엽, 박계범, 강민호, 박해민, 라이블리",1 , 4
20190813,한화,"정은원, 장진혁, 송광민, 호잉, 김태균, 이성열, 김민하, 최재훈, 오선진, 박주홍",NC,"박민우, 이명기, 스몰린스키, 양의지, 박석민, 모창민, 김성욱, 김찬형, 이상호, 이재학",10 , 2
20190813,KIA,"김주찬, 김선빈, 터커, 최형우, 유민상, 안치홍, 이창진, 한승택, 박찬호, 김기훈",두산,"박건우, 정수빈, 오재일, 김재환, 페르난데스, 최주환, 허경민, 박세혁, 김재호, 이용찬",5 , 2
20190813,롯데,"고승민, 손아섭, 전준우, 이대호, 윌슨, 민병헌, 채태인, 안중열, 강로한, 다익손",KT,"김민혁, 오태곤, 강백호, 유한준, 로하스, 박경수, 박승욱, 장성우, 심우준, 김민",5 , 6
20190814,LG,"이천웅, 오지환, 이형종, 김현수, 채은성, 페게로, 김민성, 유강남, 정주현, 윌슨",키움,"이정후, 김하성, 샌즈, 박병호, 서건창, 임병욱, 이지영, 송성문, 김혜성, 브리검",14 , 0
20190814,한화,"정은원, 오선진, 호잉, 이성열, 정근우, 송광민, 장진혁, 최재훈, 김민하, 김이환",NC,"박민우, 이명기, 스몰린스키, 양의지, 박석민, 모창민, 김성욱, 김찬형, 이상호, 루친스키",3 , 9
20190814,KIA,"김주찬, 김선빈, 터커, 최형우, 유민상, 안치홍, 이창진, 김민식, 박찬호, 터너",두산,"박건우, 정수빈, 오재일, 김재환, 페르난데스, 최주환, 허경민, 박세혁, 류지혁, 후랭코프",1 , 4
20190814,롯데,"고승민, 손아섭, 전준우, 이대호, 윌슨, 민병헌, 채태인, 안중열, 강로한, 서준원",KT,"김민혁, 오태곤, 강백호, 유한준, 로하스, 박경수, 박승욱, 장성우, 안치영, 배제성",6 , 0
