이름,연도,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
서균,19, P,-0.09,7,0,7,1,0,0,0,0,0,0,4.1,7,8,6.80,27,10,4,0,0,3,0,0,3,1,0,0,14.54,16.62,14.12,14.58,4.23,3.00
오동욱,21, P,-0.09,34,0,34,13,0,0,0,1,0,2,25.0,15,17,18.20,117,21,9,0,3,16,5,0,13,4,0,0,5.40,6.12,6.55,6.84,6.50,1.48
이현호,20, P,-0.09,16,0,16,0,0,0,0,2,0,0,15.1,11,12,13.05,75,18,0,0,4,10,1,0,15,1,1,3,6.46,7.04,7.66,7.69,6.88,1.83
장웅정,21, P,-0.10,4,0,4,2,0,0,0,0,0,0,7.1,8,8,8.00,38,15,4,0,4,2,0,0,4,0,0,1,9.82,9.82,9.82,10.54,9.74,2.32
이충호,23, P,-0.10,11,0,11,2,0,0,0,0,0,0,8.2,9,9,8.65,41,12,0,0,2,5,1,0,7,0,0,0,9.35,9.35,8.98,9.50,6.72,1.96
김경태,19, P,-0.10,17,0,17,2,0,0,0,0,0,0,11.0,5,5,8.15,54,14,4,0,0,8,0,0,10,1,0,2,4.09,4.09,6.67,7.03,3.79,2.00
김기탁,20, P,-0.10,5,0,5,4,0,0,0,0,0,0,7.0,7,10,10.00,40,13,4,0,1,5,0,0,3,2,0,0,9.00,12.86,12.86,13.46,6.84,2.57
김종수,21, P,-0.11,49,0,49,11,0,0,1,1,0,6,46.2,25,29,32.30,208,34,10,0,7,32,3,0,38,4,0,2,4.82,5.59,6.23,6.21,5.84,1.41
윤호솔,21, P,-0.11,55,0,55,13,0,0,3,0,0,8,48.2,25,29,32.90,214,41,13,2,7,30,3,1,42,5,0,3,4.62,5.36,6.08,6.27,5.36,1.46
윤호솔,20, P,-0.12,6,0,6,4,0,0,0,1,0,0,6.0,7,8,8.00,32,8,3,0,2,6,0,1,4,1,0,1,10.50,12.00,12.00,12.18,9.40,2.33
김기중,22, P,-0.12,5,3,2,0,0,0,0,2,0,0,12.0,8,10,10.50,63,14,2,0,4,11,1,0,8,1,0,0,6.00,7.50,7.88,7.83,9.18,2.08
윤대경,24, P,-0.13,5,0,5,0,0,0,0,0,0,0,5.2,7,7,8.20,29,6,2,0,1,5,1,1,6,0,0,0,11.12,11.12,13.02,12.60,6.90,1.94
장지수,24, P,-0.14,9,0,9,3,0,0,0,0,0,0,9.2,15,16,12.75,53,15,4,1,0,9,1,2,7,1,0,1,13.97,14.90,11.87,11.46,4.92,2.48
남지민,23, P,-0.14,16,7,9,5,0,0,1,7,0,0,37.2,27,31,30.15,186,54,12,0,0,13,6,1,23,5,0,3,6.45,7.41,7.20,7.03,3.80,1.78
김재영,23, P,-0.14,6,0,6,3,0,0,0,0,0,0,8.0,9,9,8.30,40,13,2,1,2,2,2,0,5,0,0,0,10.13,10.13,9.34,9.41,6.81,1.88
윤산흠,23, P,-0.14,5,0,5,0,0,0,0,0,0,0,3.0,2,2,2.50,18,3,1,0,0,6,0,0,3,0,0,0,6.00,6.00,7.50,7.30,7.55,3.00
남지민,22, P,-0.16,22,20,2,1,0,0,2,11,0,0,89.0,63,68,64.75,418,109,19,1,9,45,3,0,41,3,0,5,6.37,6.88,6.55,6.53,5.51,1.73
김기탁,21, P,-0.17,19,0,19,4,0,0,0,0,0,4,12.1,8,10,10.50,58,14,4,1,0,7,1,0,12,1,0,0,5.84,7.30,7.66,7.78,3.35,1.70
김이환,21, P,-0.17,14,5,9,2,0,0,0,1,0,0,26.0,22,22,19.30,132,32,5,0,2,22,4,0,13,1,0,1,7.62,7.62,6.68,6.78,6.53,2.08
박상원,23, P,-0.18,55,0,55,40,0,0,5,3,16,0,61.2,25,35,37.75,277,63,9,3,2,29,3,4,57,5,0,2,3.65,5.11,5.51,5.51,3.38,1.49
박상원,24, P,-0.18,21,0,21,6,0,0,0,2,1,2,18.2,15,16,16.35,84,21,8,0,1,8,2,0,19,1,0,6,7.23,7.71,7.88,7.75,3.92,1.55
이충호,21, P,-0.19,17,0,17,3,0,0,1,0,0,0,16.1,14,17,15.10,85,20,2,2,1,13,3,0,11,2,0,0,7.71,9.37,8.32,8.19,5.85,2.02
오동욱,20, P,-0.23,4,1,3,0,0,0,0,1,0,0,10.0,15,19,19.00,60,22,4,0,3,7,2,0,5,1,0,0,13.50,17.10,17.10,16.95,9.11,2.90
박준영,22, P,-0.24,5,2,3,2,0,0,0,1,0,0,11.0,13,13,11.80,53,13,0,0,1,8,0,0,10,0,0,0,10.64,10.64,9.65,9.61,4.85,1.91
김서현,23, P,-0.24,20,1,19,1,0,0,0,0,1,0,22.1,18,20,17.95,114,22,4,2,1,23,7,1,26,1,1,3,7.25,8.06,7.23,7.22,5.64,2.01
한승주,24, P,-0.25,8,0,8,4,0,0,0,1,0,0,8.2,15,16,14.45,48,17,3,1,1,6,2,0,6,0,0,0,15.58,16.62,15.01,14.68,6.67,2.65
한승혁,23, P,-0.26,21,7,14,4,0,0,0,3,0,1,36.1,26,27,28.90,176,48,9,0,3,21,3,0,28,2,0,4,6.44,6.69,7.16,7.12,4.95,1.90
이승관,21, P,-0.27,8,2,6,1,0,0,0,2,0,0,5.2,17,20,17.05,44,11,3,1,1,16,0,0,5,0,0,1,27.00,31.76,27.08,28.38,12.41,4.76
박주홍,20, P,-0.28,11,5,6,5,0,0,0,5,0,0,24.2,23,24,23.50,117,30,6,0,5,16,0,0,19,1,0,2,8.39,8.76,8.57,8.54,6.49,1.86
김재영,19, P,-0.28,5,1,4,1,0,0,0,0,0,0,8.1,12,12,11.15,41,14,4,0,1,3,2,0,4,0,0,0,12.96,12.96,12.04,12.03,5.90,2.04
황영국,20, P,-0.30,21,0,21,3,0,0,0,0,0,4,19.1,22,22,20.80,101,29,4,0,3,14,2,1,17,1,0,3,10.24,10.24,9.68,10.52,6.21,2.22
임준섭,20, P,-0.30,10,1,9,1,0,0,0,2,0,1,8.2,13,13,12.85,49,18,5,0,1,6,0,0,6,0,0,1,13.50,13.50,13.34,13.33,5.78,2.77
이태양,24, P,-0.31,10,1,9,3,0,0,0,2,0,0,9.1,12,13,14.20,48,17,3,0,4,2,0,0,2,1,0,0,11.57,12.54,13.69,14.02,9.40,2.04
신정락,22, P,-0.31,44,0,44,14,0,0,2,1,1,4,47.0,21,25,31.50,215,52,10,1,4,16,7,2,23,5,0,2,4.02,4.79,6.03,6.10,4.96,1.45
